category,company,description
Animals & Pets,omegaequine.co.uk,"Omega Equine is home to a fantastic range of innovative supplements that have been crafted by experts using the most beneficial ingredients. 

Manufactured in our BETA NOPS accredited factory, our unique and specialist range of supplements are well loved by high level competition horses and leisure horses alike. 

We are passionate about equine health and are excited to share with you our forward moving brand."
Animals & Pets,brownspetrange.com,"Brown’s Pet Range supply high quality, premium specialist diets for a variety of different pets, including Dogs, Cats, Fish, Birds, Small Animals & Reptiles

In-store we are a one stop shop for all your pet's supplies. From accessories for all pets, to premium diets developed by Globally Recognised Zoological Nutritionists! 

Online we offer an ease of use ordering system to subscribe and save money on a host of pet foods.  You pick the amount and how often we do the rest.  Ordering your pets dinner has never been easier! "
Animals & Pets,www.ace-canine.com,"Here at Ace Canine, we develop and produce the very highest quality nutritional health treatments and supplements for dogs and cats. Our products use natural active ingredients that will keep your pet healthy and safe. Flex Sprinkle Jointcare Ultimate Joint and Hip Care Supplement for Dogs  With More Green Lipped Mussel Than Any Other  Maximum Omega 3 Strength  Natural Glucosamine & Chondroitin.Healthcare Plaque-Away Dog Dental Plaque & Tartar Remover & Bad Breath Remedy | Easy Add To Dog Food - No Need For Dog Toothbrush or Dog Toothpaste | 350gm Economical Potdroitin.Clarifye | Cataract Eye Drops For Dogs | With N Acetyl Carnosine | 2x10ml | Therapeutic Eye Lubricating Drops For Dry Eyes | Improve Vision Clarity & Health  FLEXCEL with Celadrin | Anti-inflammatory for Dogs | 90 capsules Celadrin has been clinically shown to support joint health in dogs and has no side effects.
EFFECTIVE ON SOFT TISSUE INJURY where normal joint supplements are less effective. These include muscular, spinal and tendon tissues.BiotinMax Vitamin Supplement for Dogs Coat & Skin Care | Promotes A Shiny Coat and Healthy Skin | Strongest Clinical Strength Biotin 5000µg | For Dogs With Dull Dry Coats and Itchy Skin | 90 Capsules "
Animals & Pets,joiipetcare.com,"Joii Pet Care provides affordable, remote veterinary care. 🐱🐶 Use our FREE symptom checker, join vets online 24/7 for video consultations, or speak to a nurse in our FREE health clinics. Available to download for FREE now 🐾"
Animals & Pets,beha.vet,"
The Home of Real-Life Behaviour Results for You & Your Pets.
Behavet is the remote Veterinary Behaviour practice founded by Dr. Tom Mitchell to demystify dog and cat behaviour and improve communication between pets and owners.
Behavet works with clients across the world to offer both one-to-one Behaviour improvement support as well as providing a referral service for a network of Veterinary practices.
Get in touch with the team
 Or, send us an email to: hello@beha.vet, and let our experienced team know what your pet is struggling with
 Alternatively, book a call with our experienced Client Success team and find out how you could get booked in with our Behaviourists for as little as £25 out-of-pocket.
Book a success call
"
Animals & Pets,vetbox.com,"VetBox makes it simpler and cheaper to care for your pet. Our vets choose the correct flea, tick and worm treatments for your pet that arrive automatically every month. Starting from £7.49 a month for full cover. No hidden add-ons. Free treat every month. Free 24/7 vet support."
Animals & Pets,equine-america.co.uk,"Equine America UK is a traditional, family run business, founded in 1997 by Phil and Julie Middleton and now run by their son, Lee. Wishing to maintain the trusted image of the Equine America brand, whilst moving it into the 21st century, Lee brought on board world-leading equine nutritionist Deborah Lucas MSc.Eq.S., CBiol., R.Nutr. in 2018 and moved all production from the US to the UK.  Deborah is now instrumental in the design and formulation of all Equine America products, from the original Cortaflex to an extensive range of highly effective supplements and external applications for horses, dogs, cats and people.
 
All our products are manufactured in the UK, in food industry standard factories, using only the freshest, most innovative and effective ingredients available from approved suppliers. We use state of the art, unique, fingerprint laser quality testing on every single ingredient to ensure a uniform strength and quality along with an exclusive mixing process to ensure that each scoop contains equal amounts of active ingredients. Our BETA NOPS and UFAS accreditations reassure customers that our products do not contain prohibited substances. We also comply with the regulations administered by the UK Veterinary Medicines Directorate and the Food Standards Agency.
 
Our “30-day money back guarantee” serves to reinforce the total confidence that we have in our products."
Animals & Pets,animeddirect.co.uk,"Prioritising animal well-being every step of the way, Animed Direct is one of the biggest online pet retailers and veterinary dispensaries in the UK, selling affordable, trusted pet supplies for your furry friend. 

We deliver everything from prescription medications, non-prescription medications, health supplements and specialist food to stimulating toys, accessories and treats, stocking a wide range of leading brands such as Hills, Royal Canin, Feliway, Frontline and Lily’s Kitchen.

Animed has always had the health and happiness of animals at its heart, we believe that looking after our furry companions should be affordable without compromising on quality. That’s why we source all our medications from the same suppliers as vets, and stock the most trusted leading brands at prices that suit all pockets.
"
Animals & Pets,www.northernparrots.com,"We've been selling online for 25 years and are the preferred place to get Everything for your Parrot for thousands of happy customers.
We've got the widest range of literally hundreds of safe, unique toys, all the major foods and supplements, quality cages, stands and accessories and much more."
Animals & Pets,naturaldoggytreats.com,"Hey there fellow dog lovers! Let me tell you the tail (pun intended) of how our brand came to be.

It all started 3 years ago when my furry best friend Dudley had a bad reaction to a bag of shop bought treats from a well-known supermarket chain. Little did we know that the treats were chock-full of hidden nasties such as cereals, corn, sugar, derivatives, preservatives, and flavourings. It didn't take long for Dudley to develop a runny bum and a bad tummy - talk about a total paw-saster!

We rushed Dudley to our local vet who ran a few tests and discovered that he was allergic to wheat. After a lot of research, countless emails, and car miles, we finally stumbled upon a handful of fantastic natural treat suppliers who we now partner with to bring you the best of the best natural dog treats today.

But we didn't stop there. We realised that there were so many dog owners out there who were also struggling to find healthy, safe and delicious treats for their fur babies. That's when we decided to create a community of like-minded dog owners who share our passion for all things natural, nutritious and delicious.

So, we started a private customer Facebook group where dog owners could come together, interact, and share their stories, tips, and tricks. We wanted to create a space where people could feel supported, educated and empowered to make the best choices for their dogs.

And that's exactly what we did! Our community has grown into a tight-knit group of dog moms and dads who are passionate about giving their furry family members the very best. We've become a go-to resource for dog owners looking to go raw hide-free, learn more about the benefits of natural dog treats, and connect with other dog lovers who share their values.

So, whether you're a seasoned dog mom/dad or a brand new puppy parent, we're here for you. We're excited to be a part of your dog's journey and can't wait to see what the future holds. Thanks for being a part of our pack! 🐶💛"
Animals & Pets,www.petprescription.co.uk,"Find a wide range of medicines, supplements and pet essentials for your animals all at typically half the vet price. We are a UK veterinary dispensary offering expert advice and a first class customer experience."
Animals & Pets,www.dudiedogbandanas.co.uk,"Buy the World's best Dog Bandanas at Dudiedog Bandanas! Also Bow-ties, Droolbuster Dog Bibs, Personalised Bandanas, handmade in Yorkshire UK. Free UK delivery. Join our worldwide Dudie gang! "
Animals & Pets,differentdog.com,"Our nutritionist-designed recipes are freshly cooked in our kitchen from high quality, 100% British meat and delivered directly to your door. With no grains, legumes or cheap fillers, every mouthful is fussy-dog-approved; we guarantee an empty bowl or your money back."
Animals & Pets,floppyear.co.uk,"We offer 100% natural dog chews & treats!

We are careful and very conscious when it comes to sourcing our products.

Our dogs are part of our family. We know they deserve nothing less than the best. But in reality, most dog chews and treats have big marketing budgets but inferior quality. Also, most dog chews & treats advertise as ""natural"", but they come from Asia with uncertain, unknown and often harmful ingredients, produced under poor environmental and labour standards and cost a lot. Commercially available chews left a lot to desire. Eventually, after much trial and error, we realised that fresh and natural treats worked best for dogs.
We don't like eating junk food, so why should things be different for our four-legged family members? Our chews & treats are suitable for dogs with sensitive tummies. Many commercial dog chews & treats do not suit many dogs, so we researched the different types of chews and treats. Our sourcing products are either UK or EU-produced. We visit our suppliers and talk to them regularly to ensure that our products are 100% natural, with no added additives, chemicals, or flavourings. Also, these companies follow EU laws regarding animal welfare.
Today, we are proud to offer an exciting line of dog chews and treats made from a single or limited ingredient, 100% natural and as nutritious as delicious. 100% satisfaction guaranteed.

Let your Dog be a Dog. Unlock his natural instincts the healthy way!
"
Animals & Pets,www.apexvets.com,"Local, Independent, 24 hours companion animal veterinary surgery in Denny (Near Falkirk,) Scotland. Dedicated to the health and wellbeing of your pet. 24 hour emergency service is available.  Where your pet is part of our family. "
Animals & Pets,collaredcreatures.com,"Collared Creatures was born out of a passion of all things dog. We make a full range of beautiful and simply styled, luxury handmade dog accessories for the home and outdoors.

We started our business way back in 2014, it grew from wanting to find beautiful dog collars for our dogs, that was practical and hardwearing but didn’t compromise on style – we really struggled, so we decided to make our own collars.

One passion led to another and before we knew it our family, friends, and the local neighbourhood started to ask us if we could make collars and leads for them too – and before long, we were making our first ever Dog Cave Bed and very own Dog Drying Coats!

Eight years on, we’re proud to have expanded, to offer a full range of beautiful and simply styled, luxury handmade dog accessories for the home and outdoors.

We offer doting dog lovers an exclusive range: Luxury Dog Beds, Luxury Blankets and Sofa Throws, stunning Dog Collars & Leads, and Practical Dog Drying Coats.

We delighted to have also launched our own bespoke Signature Collections of different styled Dog Collars and Leads.

Collared Creatures are a small and family run, independent British Business.

Our business is all about ‘Nurturing Love’, making products that create special moments for you and your dog and helping you build that amazing dog and owner bond.

We take the time to source the finest quality materials and constantly perfect our product designs to deliver real comfort, ideal fit and practicality – giving you dog accessories that keep your dog feeling warm, safe and utterly loved.

At collared creatures our mission is to provide fellow dog lovers with the finest range of beautiful products for your pooches! We have a great selection of beds to make sure your furry companions feel safe, cosy & warm. We also have a large selection of exquisite hand crafted collars & leads.

We’re inspired every day, by designing beautiful and gorgeous dog accessories for you and your dog to enjoy in the home and wear on outdoor adventures.

Following our passion for dogs and doing what we truly love makes every day special for us.

We understand dogs and how delighted owners are when they see their dogs having a soft and cosy bed to rest and relax in, collars that make feel safe and dog drying coats that get their dog dry, warmed up quickly and feeling cosy.

Like you, we cherish the strong bond that we have with our dogs and love nothing more than to create those special moments for you to share with you dog too.

Take a look at our collections of luxury handmade dog collars and leads, cosy and warm dog beds, our luxuriously soft dog blankets and our perfectly practical dog clothing. "
Animals & Pets,thepethealthclub.co.uk,"We prioritise the health and happiness of your pet. Our specially designed pet health plans are aimed at providing preventative healthcare for your pets. With our plans, you can spread the cost of your pet's preventative healthcare, making it easier on your budget. You can join Pet Health Club at over 600 UK veterinary practices."
Animals & Pets,www.vets-now.com,"
Find An Emergency Vet
Pet Care Advice
Customer Hub



About Vets Now 


Pet emergencies can happen at any time – including when your regular vet is closed.
That’s why our nationwide network of out-of-hours pet emergency clinics are open through the night, at weekends and on bank holidays, so we’re ready and waiting to provide expert pet emergency care when your regular vet is having some time off.

Our pet emergency clinics are the pet equivalent of A&E and our purpose is to give you and your pet the care and support you deserve, at the time you need it most, whether it’s four in the morning or in the middle of Sunday lunch.
Vets Now provides this trusted service to more than 1000 veterinary practices across the UK — from over 60 dedicated out-of-hours clinics and two 24/7 pet emergency hospitals. In total, we treat around 200,000 small animals every year — our highly-skilled team works hard throughout the night, weekends and Bank Holidays. So whether you’re in Aberdeen, Belfast or Portsmouth we’re there for you and your pet when you need us most.
We’ve also pioneered other ways to help pets, pet owners and the veterinary profession, such as our comprehensive referrals service and providing our staff with industry-leading training and development opportunities. We also support the pet blood transfusion charity, Pet Blood Bank UK. Meanwhile, our two hospitals — in Glasgow and Manchester — are home to some of the UK’s leading specialists in the field of emergency and critical care and provide care 24 hours a day, seven days a week."
Animals & Pets,www.petdrugsonline.co.uk,"We’re part of IVC Evidensia, Europe’s leading veterinary care provider based across 11 countries around the world. As such, we’re also a registered veterinary practice and are governed by the Royal College of Veterinary Surgeons. This means you are guaranteed that the products we ship are sourced from the same suppliers as your own vet. 
We’ve been awarded a Platinum Trusted Service Award from Feefo for 2020 and we’ve won the Gold Trusted Service award three times in a row. "
Animals & Pets,smarttrace.org.uk,"Hey there, pet lovers! 🐾 Welcome to SmartTrace, where we're all about keeping your furry friends safe and sound with our top-notch microchipping and database services. With over a million registrations under our belt, we're your go-to pals for pet ID solutions in the UK.

At SmartTrace, we know your pets are family, and that's why we go above and beyond to ensure their safety. Our own awesome microchips are paired with a super-smart database system to give you peace of mind like never before.

Have an emergency? No worries! Our 24/7 helpline is here for you anytime, day or night. And if you shoot us an email, we promise to get back to you on the same working day. Because when it comes to your pet's safety, there's no time to waste!

Our website? Oh, it's a breeze to use! Say goodbye to confusing forms and hello to easy-peasy registration. We've made it simple so you can get back to cuddling your furry pals in no time.

We're not just about microchips and databases – we're about reuniting families with their lost pets. And boy, have we done it thousands of times across the UK! There's nothing that makes us happier than seeing wagging tails and happy faces.

So, join the SmartTrace family today and let's keep those tails wagging and those purrs coming. Your pets are our passion, and we're here to make sure they're always safe and sound. Trust SmartTrace – because we're not just pet lovers, we're pet protectors! 🐶🐱"
Animals & Pets,www.viovet.co.uk,"VioVet Ltd offers a variety of pet and horse supplies, including prescription and non-prescription medications, food, toys and equipment.

We stock many of the leading market brands, as well as our own-branded products and supplements. This is all offered at considerable savings to the customer who can expect to receive excellent value for money and an efficient, professional service whenever they contact us. 

Our consistent levels of service have contributed to us being ranked among the top retailers of pet food and medication in the UK by Trustpilot.co.uk and featuring various times in the Telegraph and Guardian newspapers for our success."
Animals & Pets,3fatcats.shop,"Business Awards UK winner of Best Pet Bedding and Accessories 2024, 3 Fat Cats is a U.K. designer and supplier of unique cardboard cat scratch furniture and pet products at affordable prices!  

Cardboard is perfect for scratching due to its texture and our products allow your kitty to get a satisfying scratch - giving them a manicure at the same time.

Cats love the warm cosy comfort and as well as the scratching, they will claim ownership by rubbing their scent glands on the curves and edges to mark their territory.

Our unique cat scratch furniture designs are larger than the standard size scratch furniture and made from top quality, eco-friendly corrugated cardboard, which is dense and evenly compressed for additional strength and bonding.

Beautiful designs that are ultra-durable and last much longer, giving you value for money and a satisfying scratch for your feline friends.  

Saves your own carpets, walls and furnishings from taking the hit..."
Animals & Pets,www.dorwest.com,"Experts in herbal pet care

Nothing beats having a healthy, happy dog. We know that because we love dogs as much as you do. Our knowledge of herbal medicine and our experience from breeding, working and showing have made us the UK's leading provider of canine and feline herbal treatments – and the only manufacturer of herbal medicines authorised by the Veterinary Medicines Directorate.

Customers trust us because we combine medicinal rigour – stringent pharmaceutical standards and active ingredients extracted from the whole plant – with the insights gained during three generations of dog ownership. We understand how herbal treatments work in balance with your dog to keep its tail wagging."
Animals & Pets,itchpet.com,"Eat Shih Tzu and die, fleas!

Never forget to protect your pet. We’re here to help you keep your pet flea, tick, lice and worm free with a tailored treatment subscription delivered to your door for free, exactly when you need it.


Tailored dose, personalised to your pet
Vet approved, scientifically proven ingredients
Delivered when you need it, so you never forget
Change, amend, cancel anytime



Your first Itch Flea treatment is free.

We partner with world-leading pharmaceutical experts, incredible chemists and scientists with over 40 years international experience to produce our hero products Itch Flea and Itch Wormer.

Tried and tested by fellow pet parents
Trusted by over 120k pets
3 million packs sold


Get in touch with our crew of qualified experts, fully trained on our products in veterinary medicines advice. There’s no problem too big, small or even too gross. We’ve heard it allll before.

hello@itchpet.com

020 3370 0905

Monday-Friday from 8am-4pm
"
Animals & Pets,tranquillitypc.com,"Individual, caring and respectful cremation for your beloved pet.

When the time comes to say goodbye to our beloved pets, we all want them to have a loving send off.

At Tranquillity pet cremation, we have been pet owners all our lives. We understand that they are more than just a pet and are a member of the family, so we understand the sorrow it causes when we lose them.

We offer a caring and easy service, where you get to choose the final journey that is right for you and your pet."
Animals & Pets,dignipets.co.uk,"Veterinary in-home hospice and end of life care for pets. Our team of vets offers home euthanasia and hospice consultations. We are an independent veterinary practice with a team of mobile veterinary surgeons in the Midlands. We specialise in compassionate consultations for hospice care and dignified home euthanasia.
"
Animals & Pets,airpets.com,"Established at London Heathrow airport 1966, Airpets quickly grew to become the UK's leading pet travel agency.   Over fifty years later, Airpets remains a family run buisness ..."
Animals & Pets,www.vetimed.co.uk,Vetimed is an Online Veterinary Dispensary. We supply veterinary medicines and pet products at low prices.  We pledge to offer excellent customer service plus free delivery!
Beauty & Well-being,www.ukjuicers.com,UK Juicers is a family business operating from our own purpose-built warehouse on the outskirts of the beautiful city of York in the North of England. We are one of the first companies to bring specialist juicers for the health enthusiast to the world of online shopping in the UK. 
Beauty & Well-being,agentshave.co.uk,"Our mission, should you choose to accept it, is to make your wet shave a pleasure not a chore!

We sell artisan shaving soap, pre & post shave care, shaving brushes, safety razors and the famous Leaf razor! 

Find brands; Ariana & Evans, Cella, Edwin Jagger, Fine Accoutrements, Leaf Shave, Mastro Miche, Phoenix Artisan Accoutrements, Phoenix and Beau, RazoRock, Rockwell Razors, Wholly Kaw, Wickham Soap Co, Zingari Man.

Free UK delivery on all orders over £50"
Beauty & Well-being,naturesupplies.co.uk,Naturesupplies are the fastest growing online supplements company offering our customers a wide range of products delivered to their door.Only finest ingredients in all our products.
Beauty & Well-being,earthlylove.co.uk,"EARTHLY LOVE was established by Hair Industry Professionals with the aim to bring salon products, and expertise to the wider public. With generations of experience, and two separate salon businesses in operation, giving us the ability to bring the latest advice, and products to you all at home. 

EARTHLY LOVE believe strongly in making sure we only work with companies that believe in ZERO Animal Testing, as well as moving forward with goals, to make sure all product packaging becomes sustainable as soon as possible!

All our parcel packaging is sustainably sourced making sure, our boxes are carefully sourced and recyclable, our interior packaging is biodegradable with compostable parcel nuts, and our boxes sealed with our branded biodegradable gum tape instead of plastic tapes

Our aim is to make your shopping experience as smooth as possible, while giving you the most knowledge, help, and information along your journey, because lets face it there is nothing more frustrating than not finding what you need to know. We are always aiming to improve, so please feel free to help us with any feedback."
Beauty & Well-being,www.nowcosmeticsurgery.com,"Now Hair offer Hair Transplants in London, and Hair Transplants in Manchester UK.
Our GMC registered hair transplant doctors are UK trained and have successfully performed thousands of FUE hair transplants for men and women. We also offer transgender hair transplants. We use the very latest techniques including Sapphire FUE Hair Transplants, DHI Hair Transplants, and Platelet Rich Plasma Therapy (PRP). We also employ British trained nurses and give 5 star Award-Winning aftercare and support.
We operate from fully accredited hospitals, CQC registered hair transplant clinics, and use the very best GMC registered surgeons in the UK - guaranteed!
Now Hair Transplants are the best hair transplant clinic in the UK, and the UK's highest rated hair transplant clinic with a solid 5.0 star rating across all review platforms. We have performed many transgender hair transplants. 
Now Hair are entirely results driven and we put customer satisfaction above all else. If something isn't right, we do all we can to ensure a satisfactory outcome.
The company directors are both English Yorkshiremen and our UK hair transplant surgeons are British. We pride ourselves on giving honest, straight-forward advice in a non-pushy way. This gives patients all the information needed to make an informed decision that's right for them. We do not employ any sales people, in fact we can't stand pushy sales talk and believe it has no place in a medical setting.
We look forward to receiving your enquiry, and to guiding you through your hair transplant journey."
Beauty & Well-being,academyofsoundhealing.com,"The Sound Healing Academy has provided professional Sound Healing Training since 2003. 
We have students and practitioners in over 70 countries worldwide.
Our unique Integral Sound Healing process is proven through thousands of case studies as a highly effective form of vibrational energy medicine. 
We are an approved training provider with the International Institute for Complementary Therapists (IICT).
When you qualify with one of our Integral Sound Healing Practitioner Diplomas , you can get professional indemnity insurance to work in most countries around the world.
The Sound Healing Academy is a project of Wise and Thrive Ltd. Our HQ is based in the UK."
Beauty & Well-being,wanthair.co.uk,"

We are UK's Premier Bespoke Hair Transplant packager with clinics in the UK & Turkey.
With offices in Leeds, Manchester & Brighton and a team that provides 24/7 UK support we can give our clients a FIRST CLASS service!
All our clinics have been vetted to UK Care Quality Commission (CQC) standards so whether your surgery is here or abroad there's nothing for you to worry about!
"
Beauty & Well-being,www.lambertshealthcare.co.uk,"Lamberts is the leading expert in nutrition, producing the highest quality products in some of the most modern and technically advanced factories in the UK. Our philosophy is all about “sound” science – we only develop products that are at the correct potency and supported by a valid scientific rationale."
Beauty & Well-being,cbdbrothers.com,"Guernsey grown, Suffolk produced legal cannabis extracts and herbal supplements. 

We have a wide range of high-quality CBD oils, balms, capsules, edibles and more. 

We strive to bring original and traditional remedies of the highest quality to your home and high street. "
Beauty & Well-being,www.shavingtime.co.uk,"We have been providing Artisan hand made shaving products, including Shaving Soap, Balm, Bath Soap, Shampoo Bars, Body Lotion, Beard Oil, Aftershaves, Brushes and Razors since 2013"
Beauty & Well-being,www.perfume-click.co.uk,"

Perfumes
Aftershaves
Cosmetics
Gift Sets
Best Sellers

About Perfume Click
Trusted since 2009 in the beauty sector, we provide millions of customers with fantastic fragrances & beauty products, plus a great choice of gift ideas for every occasion.


With over 10,000 products currently available and more added every day, ranging from luxury perfumes and aftershaves to everyday cosmetics, skincare, haircare and suncare products. We have all you could want and need from all the leading brands.


We provide our customers with amazing prices and service all year round. Offering loyalty points and multi-buy discounts, plus much more. Follow us on social media or signup to our mailing list to stay up to date with our latest offers and promotions.


Perfume Click - The home of discount fragrance & beauty products - Est. 2009, based in the UK.

"
Beauty & Well-being,cleverbotanics.com,"At CleverBotanics, we're on a mission to break the stereotypes surrounding hemp and CBD. Established in January 2019, our primary objective is to ensure that the remarkable benefits of high-quality hemp are accessible and affordable to all. We initially set our sights on the UK and Europe, and by the end of 2019, we expanded our horizons globally.

🌱 Our Range: Dive into a premium selection of oils, creams, concentrates, edibles, and terpenes, all curated for their unparalleled quality, and offered at competitive prices.

🔬 Ethical & Transparent: Every product in our catalogue is ethically sourced. We proudly share lab reports, confirming they're crafted from 100% legal hemp-based, full-spectrum essential oil extracts and terpenes. With third-party tests, we validate each product's cannabinoid profile, hemp extract potency, and safety, ensuring you receive nothing but the best.

📞 Always Here For You: Visit our e-commerce site at https://cleverbotanics.com anytime. If you have questions, drop us a message. We commit to responding within 24 hours, offering guidance and clarity.

The Road Ahead: At CleverBotanics, while we remain rooted in our foundational principles, we're also constantly innovating. As we look to the future, our aim is not just to maintain our current offerings but to evolve and expand. We're fervently working on pioneering health and wellness products, where CBD and associated cannabinoids synergize with other organic ingredients. This holistic approach is designed to harness and amplify the benefits in a novel and effective manner, ensuring we remain at the forefront of holistic health solutions.


Thank you for choosing CleverBotanics. We're honoured to serve you and be a part of your wellness journey."
Sports,ekotexyoga.co.uk,"A wide range of yoga supplies, including yoga mats, equipment, mat bags, bolsters, cushions and accessories. We are the supplier of choice for studios, teachers and yoga practitioners throughout the UK and Europe. High-quality, eco-friendly & organic w..."
Beauty & Well-being,www.baseformula.com,"
 Base Formula supply the finest aromatherapy essential oils, carrier oils, massage oils, massage waxes, cosmetic bases, pre-blended products and natural skincare ingredients, including 100% pure hydrolats. We also sell a wide variety of bottles, jars and different types of closures for making your own products. We offer discount to professional therapists, have a trade price list for bulk orders and can also offer an own-label service. 

 LEARN MORE 
"
Beauty & Well-being,estemedicalgroup.uk,"Este Medical Group has established itself as a global leader in the field of cosmetic and healthcare services over the past 25 years. Known for pushing the boundaries in their industry, they provide a wide range of treatments administered by skilled healthcare professionals in a safe, clinical setting. The company's success is driven by its Founder, Sam Cinkir, whose leadership has helped position Este Medical Group as a premier provider of healthcare and cosmetic treatments in the UK and internationally. Their commitment to safety, expertise, and cutting-edge treatments has earned them widespread recognition and trust."
Beauty & Well-being,slickboys.co.uk,Slickboys offer a select range of the finest hair pomades and artisan wet shaving products from around the globe. We pride ourselves on the exclusivity and superior quality of our product catalogue. Many of the products featured on our website can not be found anywhere else in the UK.
Beauty & Well-being,sweetcures.co.uk,"SC Nutra produces and sells range of natural health products, including Waterfall D-Mannose, UniBac: Unified Bacteria Probiotics, Urine Test Strips, Xylotene, High Energy D-Ribose, L-Arabinose Plus and Wild Oregano Oil C80. Selling directly to the public and to trade. Free UK Delivery and Worldwide Delivery available at the checkout. For more information please visit our website or call our info and sales line on 01904 789559. SC Nutra is a Sweet Cures Limited Brand. "
Beauty & Well-being,soakrochford.co.uk,"Cosmetic Ingredients. Moulds, Dyes and Supples. Mostly for Bath Bombs, Soap, Wax, Massage Bars, Plaster of Paris, Resin, Cement and food casting. A UK based company delivering quality items around the world! Ingredients for all sorts of bath, body, home and cosmetic uses supplied, with regular updates and outstanding customer care. We also have a private Facebook group, which is a hub of experience and knowledge to help you, whether a well seasoned manufacturer or an amateur hobbyist who just wants to learn more about the items you make for your personal use."
Beauty & Well-being,snip-its.co.uk,"A modern unisex salon in West End. Our team of Senior Stylists are trained to a High Industry Standard: latest trends, colour correction, precision cutting."
Beauty & Well-being,www.pharmanord.co.uk,"Pharma Nord is one of Europe's leading manufacturers of dietary supplements and preventative nutrition. We've been supplying pharmaceutical quality vitamins and supplements in the UK for 30 years.
Bio-Quinone Active Q10 Ubiquinone
Bio-Ubiquinol Active Q10
Omega7
Vitamin D3 Supplements"
Beauty & Well-being,www.holisticshop.co.uk,"We are a leading holistic internet mail order company that has been trading securely online since 2000. We pride ourselves on top quality customer service, sourcing the best quality products at the lowest possible prices and delivering to your door in the shortest possible time."
Beauty & Well-being,ethical-nutrition.com,"We’ve rewritten the rule-book and crafted superior, vegan-friendly supplements for a fair price. Our formulations are perfectly balanced with higher doses of the nutrients you need more of. Pure, hypoallergenic, well-absorbed, UK made, zero plastic and planet friendly!"
